"Date","first_purchase_os_name","totalOS"
"2020-04-15","Windows 10",7710
"2020-04-29","Windows 10",7580
"2021-10-20","Windows 10",7396
"2020-05-06","Windows 10",7323
"2020-05-13","Windows 10",7308
"2020-05-27","Windows 10",7134
"2020-04-21","Windows 10",7124
"2020-05-20","Windows 10",7086
"2020-06-10","Windows 10",7040
"2021-11-11","Windows 10",7008
"2020-06-03","Windows 10",6875
"2021-03-17","Windows 10",6858
"2021-03-03","Windows 10",6815
"2021-11-30","Windows 10",6814
"2020-07-01","Windows 10",6759
"2021-01-13","Windows 10",6723
"2021-01-06","Windows 10",6678
"2021-02-03","Windows 10",6669
"2021-01-27","Windows 10",6667
"2020-06-17","Windows 10",6613
"2020-07-15","Windows 10",6596
"2020-03-31","Windows 10",6570
"2021-03-10","Windows 10",6525
"2021-03-24","Windows 10",6464
"2020-07-29","Windows 10",6432
"2021-11-05","Windows 10",6405
"2021-03-31","Windows 10",6401
"2020-07-22","Windows 10",6400
"2020-07-08","Windows 10",6399
"2021-02-10","Windows 10",6389
"2021-01-20","Windows 10",6378
"2021-02-24","Windows 10",6358
"2020-09-02","Windows 10",6340
"2020-08-19","Windows 10",6315
"2020-12-01","Windows 10",6285
"2020-06-24","Windows 10",6276
"2020-08-26","Windows 10",6275
"2021-11-04","Windows 10",6259
"2020-05-19","Windows 10",6239
"2021-02-17","Windows 10",6226
"2020-09-16","Windows 10",6188
"2020-08-05","Windows 10",6187
"2020-03-25","Windows 10",6176
"2021-04-07","Windows 10",6158
"2020-09-09","Windows 10",6150
"2020-04-15","Mac OS X",6148
"2020-11-11","Windows 10",6130
"2020-09-30","Windows 10",6110
"2020-06-09","Windows 10",6102
"2020-05-05","Windows 10",6072
"2020-04-14","Windows 10",6072
"2019-03-13","Windows 10",6067
"2020-10-14","Windows 10",6046
"2020-10-21","Windows 10",6041
"2021-04-14","Windows 10",6041
"2020-04-20","Windows 10",6041
"2020-05-26","Windows 10",6039
"2020-05-12","Windows 10",6031
"2020-04-28","Windows 10",6016
"2020-11-18","Windows 10",6007
"2020-08-12","Windows 10",6000
"2020-04-29","Mac OS X",5999
"2020-03-11","Windows 10",5997
"2020-10-07","Windows 10",5967
"2020-01-29","Windows 10",5942
"2020-09-23","Windows 10",5858
"2021-04-28","Windows 10",5827
"2021-04-21","Windows 10",5821
"2021-05-12","Windows 10",5814
"2020-05-13","Mac OS X",5812
"2020-05-06","Mac OS X",5811
"2020-06-30","Windows 10",5804
"2020-07-07","Windows 10",5804
"2020-04-21","Mac OS X",5786
"2021-03-02","Windows 10",5780
"2021-05-05","Windows 10",5779
"2019-02-13","Windows 10",5770
"2020-11-25","Windows 10",5751
"2020-06-23","Windows 10",5729
"2020-10-28","Windows 10",5719
"2020-06-02","Windows 10",5695
"2021-02-09","Windows 10",5688
"2020-06-16","Windows 10",5676
"2021-05-26","Windows 10",5667
"2020-01-15","Windows 10",5666
"2021-06-30","Windows 10",5651
"2020-05-20","Mac OS X",5646
"2021-05-19","Windows 10",5643
"2021-03-16","Windows 10",5626
"2021-09-01","Windows 10",5624
"2018-01-31","Windows 10",5620
"2021-02-02","Windows 10",5614
"2021-06-09","Windows 10",5585
"2018-02-28","Windows 10",5571
"2019-01-16","Windows 10",5565
"2020-11-04","Windows 10",5549
"2021-01-05","Windows 10",5535
"2020-06-10","Mac OS X",5531
"2021-03-30","Windows 10",5526
"2021-06-02","Windows 10",5525
"2020-07-21","Windows 10",5511
"2020-07-28","Windows 10",5500
"2021-04-06","Windows 10",5496
"2021-01-12","Windows 10",5495
"2021-01-19","Windows 10",5481
"2020-09-01","Windows 10",5476
"2020-07-14","Windows 10",5471
"2018-01-31","Mac OS X",5462
"2021-03-09","Windows 10",5436
"2021-12-01","Windows 10",5421
"2021-01-26","Windows 10",5419
"2020-06-17","Mac OS X",5419
"2021-03-23","Windows 10",5408
"2020-02-13","Windows 10",5404
"2017-08-23","Windows 10",5389
"2020-12-30","Windows 10",5386
"2020-05-27","Mac OS X",5383
"2020-02-26","Windows 10",5383
"2021-04-13","Windows 10",5382
"2020-03-31","Mac OS X",5370
"2021-10-26","Windows 10",5365
"2021-11-17","Windows 10",5358
"2017-04-20","Mac OS X",5355
"2021-10-06","Windows 10",5333
"2019-03-27","Windows 10",5322
"2020-12-09","Windows 10",5293
"2020-11-30","Windows 10",5278
"2021-02-23","Windows 10",5265
"2019-01-30","Windows 10",5250
"2020-08-04","Windows 10",5249
"2021-06-16","Windows 10",5232
"2020-09-15","Windows 10",5230
"2019-09-04","Windows 10",5229
"2021-06-23","Windows 10",5222
"2020-08-25","Windows 10",5220
"2020-11-10","Windows 10",5218
"2020-08-18","Windows 10",5211
"2020-04-16","Windows 10",5202
"2020-08-11","Windows 10",5185
"2021-08-25","Windows 10",5181
"2020-07-01","Mac OS X",5176
"2019-09-18","Windows 10",5150
"2020-10-06","Windows 10",5149
"2021-07-07","Windows 10",5147
"2021-04-20","Windows 10",5145
"2021-02-16","Windows 10",5144
"2020-06-03","Mac OS X",5144
"2021-09-29","Windows 10",5140
"2020-03-25","Mac OS X",5138
"2021-04-27","Windows 10",5138
"2021-09-15","Windows 10",5112
"2019-03-13","Mac OS X",5106
"2020-10-20","Windows 10",5104
"2020-12-16","Windows 10",5096
"2021-11-03","Windows 10",5081
"2020-04-14","Mac OS X",5072
"2021-05-18","Windows 10",5065
"2019-03-14","Windows 10",5063
"2020-09-29","Windows 10",5049
"2018-11-21","Windows 10",5043
"2020-04-30","Windows 10",5042
"2021-05-04","Windows 10",5039
"2020-10-27","Windows 10",5038
"2021-05-11","Windows 10",5035
"2021-07-28","Windows 10",5032
"2021-08-04","Windows 10",5028
"2017-08-23","Mac OS X",5022
"2020-03-30","Windows 10",5018
"2021-08-11","Windows 10",5017
"2020-09-08","Windows 10",5014
"2021-09-22","Windows 10",5010
"2021-10-27","Windows 10",5008
"2020-04-20","Mac OS X",5004
"2020-11-17","Windows 10",5003
"2017-02-15","Mac OS X",5002
"2019-09-25","Windows 10",5000
"2019-11-27","Windows 10",5000
"2017-04-20","Windows 10",4998
"2019-01-16","Mac OS X",4985
"2019-08-21","Windows 10",4975
"2020-09-22","Windows 10",4958
"2018-02-28","Mac OS X",4953
"2017-02-14","Mac OS X",4944
"2019-10-16","Windows 10",4937
"2021-05-25","Windows 10",4932
"2018-10-17","Windows 10",4928
"2019-12-02","Windows 10",4919
